id,name,cost,type,resolve,speed,damage,toughness,life,shorttext,longtext,flavortext,card_image,common,uncommon,rare,action,event,continuous,item,bast,igrath,lilith,vi,ravat,scuttler,tendril,wisp,scinter,tinsel,show_resolve,show_speed,show_tough,show_life,border_normal
Blaze_1,"Blaze",1,"Event- Channel","+0",0,0,0,0,"Deal 1 to a follower.Draw 1.","Channeled cards can only be played with their leader's resolve","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Blaze_2,"Blaze",1,"Event- Channel","+0",0,0,0,0,"Deal 1 to a follower.Draw 1.","Channeled cards can only be played with their leader's resolve","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Blaze_3,"Blaze",1,"Event- Channel","+0",0,0,0,0,"Deal 1 to a follower.Draw 1.","Channeled cards can only be played with their leader's resolve","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Chaotic Blast_1,"Chaotic Blast",3,"Event- Channel","+0",0,0,0,0,"Bast deals 2 to all other characters.Nearby characters take +1 damage.","Characters in the same lane are considered nearby. Bast does not take damage.Channeled cards can only be played with their leader's resolve","",,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Combust_1,"Combust",1,"Action- Channel","+0",0,0,0,0,"Deal 2 to a character.","Channeled cards can only be played with their leader's resolve","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Combust_2,"Combust",1,"Action- Channel","+0",0,0,0,0,"Deal 2 to a character.","Channeled cards can only be played with their leader's resolve","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Combust_3,"Combust",1,"Action- Channel","+0",0,0,0,0,"Deal 2 to a character.","Channeled cards can only be played with their leader's resolve","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Hot Coals_1,"Hot Coals",3,"Event- Continuous","+0",0,0,0,0,"If you would draw a card, you may put a discarded Bast channel card into your hand instead.","","",,false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Ignite_1,"Ignite",1,"Action- Channel","+0",0,0,0,0,"Deal 3 to a hero.","Ignite can be played on Leaders, bonus heroes, or deck heroes.Channeled cards can only be played with their leader's resolve.","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Ignite_2,"Ignite",1,"Action- Channel","+0",0,0,0,0,"Deal 3 to a hero.","Ignite can be played on Leaders, bonus heroes, or deck heroes.Channeled cards can only be played with their leader's resolve.","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Ignite_3,"Ignite",1,"Action- Channel","+0",0,0,0,0,"Deal 3 to a hero.","Ignite can be played on Leaders, bonus heroes, or deck heroes.Channeled cards can only be played with their leader's resolve.","",,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Kindle_1,"Kindle",2,"Event","+0",0,0,0,0,"Reveal the top 4 cards of your deck. Put 2 Bast Channel cards from among them into your hand and discard the rest.","","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Kindle_2,"Kindle",2,"Event","+0",0,0,0,0,"Reveal the top 4 cards of your deck. Put 2 Bast Channel cards from among them into your hand and discard the rest.","","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Kindle_3,"Kindle",2,"Event","+0",0,0,0,0,"Reveal the top 4 cards of your deck. Put 2 Bast Channel cards from among them into your hand and discard the rest.","","",,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Relentless Fury_1,"Relentless Fury",3,"Event","+0",0,0,0,0,"You may move a Troika hero.That hero gains +1 speed this turn.","Speed is spent to attack, intercept, or redeploy.Move means to put that character in another zone, this does not count as a redeployment.","",,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Relentless Fury_2,"Relentless Fury",3,"Event","+0",0,0,0,0,"You may move a Troika hero.That hero gains +1 speed this turn.","Speed is spent to attack, intercept, or redeploy.Move means to put that character in another zone, this does not count as a redeployment.","",,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Rush of Anger_1,"Rush of Anger",2,"Event","+0",0,0,0,0,"A character gets +3/+0 this turn.","You may target any character- even your opponent's.You may play Rush of Anger on a hero or follower.","",,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Rush of Anger_2,"Rush of Anger",2,"Event","+0",0,0,0,0,"A character gets +3/+0 this turn.","You may target any character- even your opponent's.You may play Rush of Anger on a hero or follower.","",,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Savage Punch_1,"Savage Punch",2,"Event","+0",0,0,0,0,"A Troika hero deals its damage to a nearby character.","Characters in the same lane are considered nearby.","",,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
